,0,1
0,tares,6.20282204035304
1,lares,6.15874805081156
2,rales,6.122176128838141
3,rates,6.103867298851
4,nares,6.0766077423957
5,tales,6.05909860942107
6,teras,6.05435275329836
7,reais,6.0520014581596
8,arles,6.0372969090131
9,dares,6.02459784975669
10,tears,6.02393128852803
11,tores,6.02290006949483
12,aeros,6.0051569080412
13,reals,5.9916066360143
14,salet,5.9818601841319
15,lores,5.9816149845616
16,lears,5.98062438699695
17,lanes,5.979705309966866
18,cares,5.97624545623828
19,pares,5.97520154373895
20,saner,5.974989594049902
21,soare,5.97433091146851
22,tires,5.97130162638807
23,mares,5.96047607541277
24,reans,5.95358463725833
25,laers,5.94897195955881
26,roles,5.945504365418746
27,aures,5.9374536423142
28,earls,5.933282510159779
29,teals,5.93227190639903
30,sared,5.93153239096931
31,tries,5.925845757642214
32,rotes,5.92042045087085
33,leats,5.91794734011984
34,aloes,5.91042718561307
35,serai,5.90457227428127
36,rones,5.90331194372542
37,taels,5.90231884986801
38,nates,5.900985790469353
39,earns,5.9003841755301
40,saine,5.899143994023428
41,nears,5.89775138745754
42,dales,5.89201961918426
43,seral,5.891440284212
44,riles,5.8885992866798
45,hares,5.88792867820322
46,toles,5.88266799849058
47,sorel,5.877399821104968
48,raits,5.87599137681154
49,gares,5.87260582225528
50,bares,5.86964708749618
51,arets,5.869496544175893
52,laris,5.86868626616028
53,races,5.86868144490043
54,taros,5.86761876917037
55,rites,5.86631782458431
56,rapes,5.86058186364746
57,dears,5.857132482299439
58,leans,5.85514689760481
59,toeas,5.85358146914967
60,taser,5.85263296235368
61,raise,5.84868752493457
62,dores,5.84678015530545
63,toras,5.8429377518199
64,rines,5.84122662355146
65,rails,5.84050875568768
66,pales,5.837854712071762
67,dates,5.83520148367999
68,tones,5.83509458513914
69,aeons,5.8343934571607
70,soler,5.83216551280291
71,reads,5.827718766601095
72,tiles,5.82712375837466
73,males,5.82502942591674
74,lades,5.82492638269836
75,lairs,5.82345692452466
76,leirs,5.82171069274443
77,orles,5.8199728245534
78,neats,5.81960913120693
79,lotes,5.816086248366918
80,neals,5.80781727132766
81,airts,5.80409694848665
82,siren,5.80222642497517
83,strae,5.80081162380169
84,cores,5.79955164245994
85,slate,5.79912009203365
86,pores,5.79842251479065
87,laser,5.7979349440188
88,pears,5.7951181142361
89,ranis,5.79488303598676
90,tiars,5.79425278081496
91,roues,5.79234401366554
92,rains,5.7914825986102
93,cates,5.78862162391113
94,tames,5.788257334039454
95,pates,5.78760164208619
96,naris,5.78630711599216
97,mores,5.78623907156472
98,tarns,5.78491009500425
99,rages,5.78293397309785
100,canes,5.78226750171984
101,taces,5.78226078413818
102,panes,5.779520889560207
103,ayres,5.7784310763613
104,reins,5.7784172848702
105,tails,5.77668835663446
106,apres,5.77628182944287
107,aides,5.7756829273683
108,ratos,5.77445607830897
109,lames,5.77355822227195
110,tines,5.77259431609735
111,siler,5.7724606032311
112,tapes,5.77092524968624
113,deals,5.770710787942042
114,mates,5.77019967762568
115,antes,5.7701211703949
116,roans,5.76841746390644
117,eards,5.76739783099542
118,teils,5.76720414771183
119,rials,5.7654985022469
120,laces,5.76548101066997
121,terns,5.76526313666433
122,liras,5.76519762630653
123,manes,5.76333111356227
124,lites,5.76240878705978
125,daris,5.76118106757962
126,noles,5.76065633491331
127,acres,5.75913617401748
128,stare,5.75584857300846
129,sored,5.75498037172686
130,snare,5.75398231762404
131,reaps,5.75393925179282
132,tiers,5.753609273052866
133,hales,5.74998551342362
134,saned,5.74994310262658
135,reams,5.748675162508571
136,sated,5.74850682766438
137,braes,5.74810090398722
138,dries,5.74748413439118
139,rotas,5.7473562304355
140,liars,5.7469616803616
141,renos,5.7448773596339
142,slier,5.744034846782
143,aunes,5.743276497706153
144,yales,5.74225649463281
